country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Bosnia and Herzegovina,0.020934761,0.148035679,0.577377253,0.294560411,0.073244849,0.051843637,0.881656805,0.025236593,0.041796715
Botswana,0.242940604,0.217573578,0.403356122,0.294560411,0.102025066,0.121338139,0.493096647,0.272870662,0.058404681
Brazil,0.083739046,0.052983876,0.447482909,0.067462907,0.111672066,0.116625081,0.830374753,0.102523659,0.104697
Brunei,0.038461538,0.336638468,0.064014916,0.16060163,0.643060993,0.193235376,0.887573964,0.108832808,0.334726875
Bulgaria,0.039922103,0.250591572,0.314481044,0.304334228,0.1181034,0.049163663,0.824457594,0.066246057,0.063081637
Burkina Faso,0.552093476,0.095507051,0.306401492,0.169800516,0.006600156,0.101839017,0.50887574,0.744479495,0.003283414
Burundi,0.443037975,0.044079023,0.608452455,0.224993834,0.001246071,0.152573699,0.504930966,0.805993691,0
Cambodia,0.203505355,0.270102206,0.240522063,0.341704703,0.015362848,0.067738656,0.67061144,0.272870662,0.005297368
Cameroon,0.513145083,0.110515231,0.206339341,0.154852326,0.016488331,0.056556695,0.49704142,0.624605678,0.010298848
Canada,0.014605648,0.145034044,0.589807334,0.177849542,0.322298237,0.065428334,0.970414201,0.075709779,0.450219053
Cape Verde,0.116358325,0.163043859,0.141702921,0.354928102,0.04197249,0.043572683,0.796844181,0.239747634,0.029388464
Central African Republic,0.712755599,0.058486875,0.134866377,0.151977674,0.002242928,0.057480824,0.303747535,0.640378549,0.002052134
Chad,0.717624148,0.183555037,0.169049099,0.249715841,0.010619739,0.097957675,0.481262327,0.858044164,0.006356842
Chile,0.02969815,0.188057491,0.382224984,0.179574333,0.151063984,0.12170779,0.927021696,0.115141956,0.120923174
China,0.063777994,0.131026409,0.202610317,0.129555389,0.071717407,0.103040384,0.8382643,0.069400631,0.041319474
Colombia,0.077896787,0.078998054,0.359229335,0.10195873,0.082731066,0.074577211,0.873767258,0.135646688,0.0574502
Comoros,0.416747809,0.08199969,0.167806091,0.296860133,0.006439373,0.074669624,0.666666667,0.567823344,0.005135107
Congo Dem,0.552093476,0.205066761,0.379117464,0.284786594,0,0.231124665,0.500986193,0.850157729,0.000983115
Congo Rep,0.298442064,0.425186727,0.040397763,0.314108044,0.036827423,0.230200536,0.558185404,0.599369085,0.023947924
Costa Rica,0.037000974,0.165545222,0.564947172,0.200846757,0.099613316,0.099621107,0.952662722,0.121451104,0.076062576
Cote d'Ivoire,0.52775073,0.252592663,0.21690491,0.24856598,0.016729506,0.088716385,0.477317554,0.649842271,0.009439815
Croatia,0.014118793,0.187557219,0.369794904,0.2186696,0.156691401,0.04649293,0.871794872,0.063091483,0.126650059
Cyprus,0.004868549,0.250591572,0.258545681,0.330206095,0.267631903,0.057480824,0.942800789,0.042586751,0.291775239
Czech Republic,0.003894839,0.329634651,0.377252952,0.361252336,0.222612568,0.025690786,0.895463511,0.056782334,0.18678235
Denmark,0.007302824,0.25209239,0.596022374,0.250290771,0.348827488,0.068662785,0.934911243,0.113564669,0.551394019
Dominican Republic,0.154819864,0.113016594,0.274083282,0.191072941,0.084338899,0.089178449,0.8382643,0.228706625,0.049814353
Ecuador,0.109542356,0.139030772,0.388440025,0.185898567,0.070270357,0.107938268,0.879684418,0.238170347,0.042273955
Egypt,0.129016553,0.106012777,0.177128651,0.152552605,0.074370332,0.132242861,0.75739645,0.321766562,0.02261165
El Salvador,0.080817916,0.134028045,0.31696706,0.267538683,0.053790065,0.06339525,0.828402367,0.176656151,0.026334126
Equatorial Guinea,0.52775073,0.428688635,0.165941579,0.338255121,0.266024069,0.269013954,0.568047337,0.640378549,0.161011368
Eritrea,0.256085686,0.023417763,0.052827843,0.133579902,0.006519764,0.146104796,0.58382643,0.545741325,0.002395747
Estonia,0.009250243,0.375159462,0.262274705,0.394598299,0.177593234,0.054985676,0.865877712,0.089905363,0.137149348
Fiji,0.104673807,0.288612294,0.189558732,0.36700164,0.054192024,0.077996488,0.654832347,0.239747634,0.032633699
Finland,0.00194742,0.193060218,0.443753884,0.214645087,0.315062987,0.042149524,0.944773176,0.113564669,0.438765284
France,0.007789679,0.133527773,0.627097576,0.161176561,0.291749403,0.048609186,0.972386588,0.138801262,0.385314358
Gabon,0.297468354,0.288112021,0.105034183,0.108282965,0.118907316,0.192311247,0.607495069,0.46214511,0.08131222
Gambia,0.378286271,0.118519593,0.241143567,0.245116398,0.008449164,0.078643379,0.65877712,0.719242902,0.003159331
Georgia,0.067672833,0.17455013,0.515226849,0.303184367,0.04920774,0.117918861,0.802761341,0.121451104,0.026047781
Germany,0.007789679,0.211070033,0.608452455,0.212920296,0.319886487,0.045910729,0.946745562,0.03785489,0.396768128
Ghana,0.351022395,0.147035134,0.211932878,0.26351417,0.019703998,0.192311247,0.593688363,0.492113565,0.010298848
Greece,0.006329114,0.110014958,0.52765693,0.176124751,0.225828235,0.045125219,0.952662722,0.052050473,0.254550487
Grenada,0.05842259,0.118519593,0.251709136,0.282486873,0.085142816,0.04334165,0.773175542,0.17192429,0.068140385
Guatemala,0.159688413,0.128525046,0.313238036,0.208320853,0.049046957,0.086406062,0.773175542,0.351735016,0.024806956
Guinea,0.518013632,0.151037315,0.19390926,0.247991049,0.004670756,0.187690602,0.510848126,0.660883281,0.003980185
Guinea-Bissau,0.542356378,0.073995327,0.415786203,0.201996618,0.006278589,0.066352463,0.463510848,0.615141956,0.003016159
Guyana,0.170399221,0.256594844,0.221876942,0.45439106,0.042052882,0.091858423,0.65877712,0.23659306,0.026811366
Haiti,1,0.075996418,0.31696706,0.371601083,0.007162898,0.089270862,0,0.34384858,0.004113812
Hungary,0.016553067,0.408677729,0.34307023,0.439442869,0.174377568,0.060438037,0.836291913,0.015772871,0.122832135
Iceland,0,0.266600297,0.471721566,0.24856598,0.30702382,0.089455688,0.984220907,0.165615142,0.397722609
India,0.273612463,0.112516321,0.139216905,0.155427257,0.030556873,0.121892616,0.672583826,0.228706625,0.01068064
Indonesia,0.14946446,0.121020956,0.049720323,0.128405528,0.062874324,0.18029757,0.74556213,0.20977918,0.027479503
Iran,0.081304771,0.121521229,0.235550031,0.111157617,0.13498565,0.185842344,0.836291913,0.096214511,0.060122746
Iraq,0.166991237,0.196562126,0.410192666,0.195672384,0.097201566,0.192311247,0.692307692,0.53785489,0.040746786
Ireland,0.007789679,0.514735531,0.458669981,0.496935908,0.362494071,0.009148877,0.952662722,0.141955836,0.462627304
Israel,0.009737098,0.17455013,0.361715351,0.188773219,0.233063485,0.055262915,0.972386588,0.296529968,0.289866277
Italy,0.006815969,0.12552341,0.479801119,0.156002187,0.286121986,0.041853803,0.978303748,0.048895899,0.339499279
Jamaica,0.075462512,0.156040042,0.186451212,0.284786594,0.059417482,0.129562887,0.840236686,0.160883281,0.042464851
Japan,0.00292113,0.0744956,0.477315103,0.077811654,0.28290632,0.02134738,1,0.03785489,0.42253911
Jordan,0.09006816,0.241086392,0.387197017,0.39632309,0.071235057,0.116809907,0.861932939,0.395899054,0.032920043
Kazakhstan,0.092015579,0.220575213,0.154133002,0.171525308,0.156691401,0.219110988,0.715976331,0.228706625,0.084366559
Kenya,0.290165531,0.103011141,0.182722188,0.192797732,0.015041281,0.058220128,0.605522682,0.507886435,0.007024979
Kiribati,0.292599805,0.065990965,0.589807334,0.458990503,0.009011906,0.052952592,0.564102564,0.424290221,0.012016913
Kuwait,0.039922103,0.333136559,0.050963331,0.17439996,0.599649492,0.14240828,0.909270217,0.167192429,0.365270261
Kyrgyz Republic,0.131450828,0.257595389,0.271597265,0.46933925,0.017533423,0.131318732,0.717948718,0.307570978,0.00619458
Lao,0.371470302,0.17655122,0.165320075,0.283061803,0.027100031,0.1239257,0.625246548,0.315457413,0.008676231
Latvia,0.025316456,0.268101115,0.302672467,0.316407766,0.1422209,0.031401904,0.808678501,0.033123028,0.105651481
Lebanon,0.037487829,0.178552311,0.324425109,0.345729216,0.126142567,0.041105258,0.940828402,0.072555205,0.082362149
Lesotho,0.472736125,0.196562126,0.577377253,0.580300815,0.014237364,0.077257185,0.284023669,0.339116719,0.008962575
Liberia,0.422103213,0.095006779,0.620882536,0.532006662,0.000731564,0.089455688,0.566074951,0.610410095,0.000916302
Libya,0.068159688,0.32763356,0.128651336,0.241666815,0.233063485,0.17013215,0.867850099,0.19873817,0.113287327
Lithuania,0.017039922,0.326132742,0.325046613,0.385974343,0.164730567,0.060900102,0.810650888,0.055205047,0.112332847
Luxembourg,0.00097371,0.874931838,0.370416408,0.816022275,0.732295745,0.072359301,0.970414201,0.075709779,1
Macedonia,0.037974684,0.198563217,0.328154133,0.333655678,0.086750649,0.057758063,0.82642998,0.050473186,0.041128578
Madagascar,0.290165531,0.124522865,0.121814792,0.246841189,0.006278589,0.120136771,0.566074951,0.544164038,0.001737155
Malawi,0.427945472,0.113516867,0.297078931,0.200271827,0.003384489,0.150725441,0.414201183,0.65615142,0.002176216
Malaysia,0.025803311,0.434191634,0.160348042,0.407821698,0.164730567,0.10609001,0.836291913,0.157728707,0.084366559
Maldives,0.051606621,0.387666278,0.280919826,0.375625596,0.079515399,0.065520747,0.903353057,0.170347003,0.065563287
Mali,0.654333009,0.113516867,0.197016781,0.201421688,0.010137389,0.079290269,0.540433925,0.851735016,0.004552873
Malta,0.020447907,0.764871855,0.425108763,0.885013922,0.222612568,0.074299972,0.950690335,0.033123028,0.1991906
Mauritania,0.461538462,0.253092936,0.16159105,0.35147852,0.021794181,0.213566214,0.712031558,0.604100946,0.009248919
Mauritius,0.06037001,0.255594299,0.260410193,0.357227824,0.1229269,0.049348489,0.814595661,0.066246057,0.074153614
Micronesia,0.182083739,0.117018775,0.770043505,0.465314737,0.021954965,0.074022734,0.656804734,0.364353312,0.0250933
Moldova,0.071080818,0.195561581,0.614667495,0.450941477,0.02653729,0.141484151,0.741617357,0.018927445,0.013353187
Mongolia,0.114410906,0.23308203,0.225605966,0.325606652,0.057086124,0.401164403,0.672583826,0.235015773,0.023088891
Montenegro,0.020447907,0.184555583,0.453697949,0.360102476,0.107652483,0.053691895,0.873767258,0.097791798,0.061554467
Morocco,0.150438169,0.160542496,0.210689869,0.246841189,0.046876382,0.04792533,0.816568047,0.22555205,0.024806956
Mozambique,0.479065239,0.157040587,0.211311374,0.265238961,0.002484103,0.109509287,0.441814596,0.695583596,0.001794424
Myanmar,0.300876339,0,0.009944065,0,0.025009848,0.103964513,0.684418146,0.19873817,0.00722542
Namibia,0.259980526,0.238585029,0.308887508,0.348603868,0.063115499,0.071804824,0.522682446,0.386435331,0.047332703
Nepal,0.216163583,0.047380823,0.21379739,0.208895783,0.011102089,0.178449312,0.714003945,0.230283912,0.003445676
Netherlands,0.009250243,0.35965101,0.627097576,0.365276849,0.360886238,0.046742445,0.958579882,0.100946372,0.477898997
New Zealand,0.017526777,0.151037315,0.515226849,0.16060163,0.254769236,0.073375843,0.962524655,0.160883281,0.319455182
Niger,0.58617332,0.110515231,0.208203853,0.281911943,0.001648029,0.062471121,0.526627219,1,0.001116743
Nigeria,0.620253165,0.126023683,0.202610317,0.099659009,0.036505857,1,0.560157791,0.739747634,0.020034552
Norway,0.00292113,0.198062944,0.476693599,0.163476282,0.49594424,0.093891507,0.964497041,0.126182965,0.835829301
Oman,0.044303797,0.328133833,0.059664388,0.236492442,0.359278404,0.183069957,0.867850099,0.276025237,0.182009946
Pakistan,0.435735151,0.06699151,0.024238658,0.111157617,0.029511781,0.139635893,0.654832347,0.425867508,0.00772175
Panama,0.083252191,0.349645557,0.390926041,0.449216686,0.118907316,0.062840773,0.901380671,0.231861199,0.074917199
Paraguay,0.104673807,0.275104932,0.25233064,0.295710272,0.053709674,0.095277701,0.828402367,0.249211356,0.028624879
Peru,0.08617332,0.138530499,0.203231821,0.136454554,0.075174249,0.091673598,0.903353057,0.219242902,0.045710086
Philippines,0.142648491,0.173549585,0.111870727,0.210045644,0.040123482,0.077904075,0.727810651,0.3170347,0.018125591
Poland,0.016553067,0.200064035,0.351149782,0.241666815,0.170357984,0.054246373,0.871794872,0.041009464,0.118059731
Portugal,0.006329114,0.149036225,0.571162213,0.214645087,0.213769485,0.044847981,0.940828402,0.03785489,0.212553332
Qatar,0.031158715,0.311124563,0,0.136454554,1,0.103410036,0.934911243,0.14511041,0.668795159
Romania,0.043330088,0.162543586,0.234307023,0.222694112,0.138201317,0.071527585,0.820512821,0.069400631,0.07634892
Russia,0.036027264,0.145534316,0.203231821,0.120931433,0.180808901,0.17013215,0.731755424,0.066246057,0.099924596
Rwanda,0.2969815,0.059487421,0.540087011,0.172100238,0.005957023,0.063025598,0.641025641,0.529968454,0.003168876
Samoa,0.079357352,0.145534316,0.289620883,0.304909158,0.038515648,0.05480085,0.777120316,0.503154574,0.030724737
Saudi Arabia,0.063777994,0.247589937,0.154133002,0.18934815,0.360082321,0.197856021,0.848126233,0.285488959,0.182009946
Senegal,0.312560857,0.124022592,0.239279055,0.231318068,0.012629531,0.056002218,0.629191321,0.616719243,0.007339957
Serbia,0.024342746,0.164044404,0.53387197,0.275012778,0.097201566,0.093244617,0.840236686,0.039432177,0.049432561
Seychelles,0.05744888,0.468710447,0.098819142,0.620545942,0.159103151,0,0.814595661,0.160883281,0.100879077
Sierra Leone,0.76630964,0.083500508,0.701678061,0.197972106,0.004911931,0.197856021,0.451676529,0.638801262,0.001603528
Singapore,0.00097371,1,0.133623369,1,0.574728075,0.038480732,0.998027613,0,0.442583207
Slovak Republic,0.021421616,0.381162734,0.43380982,0.446916965,0.197691151,0.043387857,0.856015779,0.044164038,0.156238964
Slovenia,0.00292113,0.321130016,0.47234307,0.361252336,0.225828235,0.029784678,0.934911243,0.066246057,0.221143659
Solomon Islands,0.124148004,0.246089119,0.418893723,0.466464598,0.009413864,0.101839017,0.58382643,0.487381703,0.010107952
South Africa,0.248782863,0.14253268,0.44313238,0.157152048,0.091574149,0.097588023,0.437869822,0.227129338,0.067281352
South Korea,0.007302824,0.246589391,0.318210068,0.265238961,0.239494819,0.068108308,0.946745562,0.012618297,0.208735408
Spain,0.005842259,0.127024228,0.480422623,0.153702465,0.256377069,0.040384438,0.982248521,0.034700315,0.290820758
Sri Lanka,0.041869523,0.097508142,0.070229956,0.153702465,0.063919415,0.249607245,0.834319527,0.165615142,0.02461606
St. Vincent and the Grenadines,0.08812074,0.134028045,0.165320075,0.327906374,0.074852682,0.079937159,0.779092702,0.14511041,0.057259304
Sudan,0.360759494,0.098008415,0.280298322,0.098509148,0.02219614,0.220035117,0.674556213,0.588328076,0.011921465
Suriname,0.104673807,0.262097843,0.323182101,0.220394391,0.109260316,0.10544312,0.753451677,0.216088328,0.077017057
Sweden,0.00194742,0.230580666,0.486016159,0.23361779,0.339984404,0.04806395,0.974358974,0.130914826,0.495079651
Switzerland,0.009250243,0.319629198,0.602237415,0.306059019,0.441277906,0.04183532,0.98816568,0.058359621,0.709837834
Tajikistan,0.242453749,0.073995327,0.259167185,0.33653033,0.012066789,0.154421957,0.73964497,0.372239748,0.004839218
Tanzania,0.337390458,0.093005688,0.261031697,0.166925864,0.011906006,0.124387765,0.536489152,0.675078864,0.004495605
Thailand,0.059883155,0.332136014,0.128651336,0.349178798,0.103632899,0.076610295,0.877712032,0.063091483,0.046282774
Timor-Leste,0.29211295,0.010460701,0.454319453,0.159451769,0.009976606,0.283800018,0.769230769,0.80126183,0.032156458
Togo,0.426971762,0.200564308,0.362958359,0.329056235,0.004831539,0.049810554,0.524654832,0.586750789,0.002453016
Tonga,0.072054528,0.061488511,0.202610317,0.346304146,0.035139198,0.072913779,0.74556213,0.43533123,0.031679218
Tunisia,0.072054528,0.25209239,0.273461778,0.317557627,0.078711482,0.074207559,0.883629191,0.15615142,0.037310655
Turkey,0.080331061,0.101510323,0.306401492,0.14622837,0.13980915,0.103687275,0.909270217,0.157728707,0.099924596
Turkmenistan,0.289191821,0.381162734,0.042883779,0.255465145,0.075013466,0.060253211,0.706114398,0.264984227,0.040174097
Uganda,0.381694255,0.085001326,0.447482909,0.164051212,0.007484464,0.136863506,0.487179487,0.788643533,0.00347431
Ukraine,0.044303797,0.23508312,0.367308888,0.29341055,0.057970432,0.162739118,0.755424063,0.045741325,0.026143229
United Arab Emirates,0.029211295,0.388166551,0.114978247,0.365276849,0.458160156,0.154421957,0.875739645,0.113564669,0.331863433
United Kingdom,0.012658228,0.14053159,0.486637663,0.176699681,0.286121986,0.053414657,0.950690335,0.121451104,0.369088184
United States,0.022882181,0.061488511,1,0.090460123,0.392238988,0.050180205,0.91913215,0.123028391,0.459763861
Uruguay,0.038948393,0.131026409,0.406463642,0.14565344,0.1325739,0.084280566,0.873767258,0.146687697,0.111378366
Uzbekistan,0.164070107,0.158041132,0.248601616,0.163476282,0.029190215,0.191387118,0.723865878,0.187697161,0.010966985
Vanuatu,0.129503408,0.232581757,0.21379739,0.302609437,0.01881969,0.063118011,0.609467456,0.370662461,0.026143229
Venezuela,0.070593963,0.142032408,0.192666252,0.10080887,0.1277504,0.463081046,0.854043393,0.208201893,0.126650059
Vietnam,0.100778968,0.35965101,0.312616532,0.460715294,0.031200006,0.150725441,0.808678501,0.126182965,0.010298848
Yemen,0.261441091,0.149536497,0.209446861,0.197397175,0.031119615,0.257000277,0.698224852,0.555205047,0.010298848
Zambia,0.391918208,0.184555583,0.253573648,0.177274611,0.021472615,0.168283892,0.392504931,0.670347003,0.011730569
